chr - Nc_Supercontig_12.1 LG1 0 9798893 chr1
band Nc_Supercontig_12.2 band1 band1 1860256 1874006 chr2
band Nc_Supercontig_12.2 band1 band1 1874007 1874102 black
band Nc_Supercontig_12.2 band1 band1 1874103 2209393 chr2
band Nc_Supercontig_12.2 band1 band1 2209394 2209454 black
band Nc_Supercontig_12.2 band1 band1 2209455 3486410 chr2
band Nc_Supercontig_12.2 band1 band1 3486411 3486530 black
band Nc_Supercontig_12.2 band1 band1 3486531 3540960 chr2
band Nc_Supercontig_12.2 band1 band1 3540961 3541038 black
band Nc_Supercontig_12.2 band1 band1 3541039 3732496 chr2
band Nc_Supercontig_12.2 band1 band1 3732497 3732616 black
band Nc_Supercontig_12.2 band1 band1 3732617 3791330 chr2
band Nc_Supercontig_12.2 band1 band1 3791331 3791450 black
band Nc_Supercontig_12.2 band1 band1 3791451 3840248 chr2
band Nc_Supercontig_12.2 band1 band1 3840249 3840368 black
band Nc_Supercontig_12.2 band1 band1 3840369 4047304 chr2
band Nc_Supercontig_12.2 band1 band1 4047305 4047424 black
band Nc_Supercontig_12.2 band1 band1 4047425 4151749 chr2
band Nc_Supercontig_12.2 band1 band1 4151750 4151869 black
band Nc_Supercontig_12.2 band1 band1 4151870 4478683 chr2
band Nc_Supercontig_12.3 band1 band1 0 121981 chr3
band Nc_Supercontig_12.3 band1 band1 121982 122101 black
band Nc_Supercontig_12.3 band1 band1 122102 1311529 chr3
band Nc_Supercontig_12.3 band1 band1 1311530 1311649 black
band Nc_Supercontig_12.3 band1 band1 1311650 1317414 chr3
band Nc_Supercontig_12.3 band1 band1 1317415 1317534 black
band Nc_Supercontig_12.3 band1 band1 1317535 1756866 chr3
band Nc_Supercontig_12.3 band1 band1 1756867 1756986 black
band Nc_Supercontig_12.3 band1 band1 1756987 2744801 chr3
band Nc_Supercontig_12.3 band1 band1 2744802 2744921 black
band Nc_Supercontig_12.3 band1 band1 2744922 2887427 chr3
band Nc_Supercontig_12.3 band1 band1 2887428 2887535 black
band Nc_Supercontig_12.3 band1 band1 2887536 3336800 chr3
band Nc_Supercontig_12.3 band1 band1 3336801 3336920 black
band Nc_Supercontig_12.3 band1 band1 3336921 3377207 chr3
band Nc_Supercontig_12.3 band1 band1 3377208 3377304 black
band Nc_Supercontig_12.3 band1 band1 3377305 3549723 chr3
band Nc_Supercontig_12.3 band1 band1 3549724 3549843 black
band Nc_Supercontig_12.3 band1 band1 3549844 3728882 chr3
band Nc_Supercontig_12.3 band1 band1 3728883 3728941 black
band Nc_Supercontig_12.3 band1 band1 3728942 4516495 chr3
band Nc_Supercontig_12.3 band1 band1 4516496 4516614 black
band Nc_Supercontig_12.3 band1 band1 4516615 5001429 chr3
band Nc_Supercontig_12.3 band1 band1 5001430 5001549 black
band Nc_Supercontig_12.3 band1 band1 5001550 5274802 chr3
band Nc_Supercontig_12.4 band1 band1 0 548189 chr4
band Nc_Supercontig_12.4 band1 band1 548190 548266 black
band Nc_Supercontig_12.4 band1 band1 548267 829499 chr4
band Nc_Supercontig_12.4 band1 band1 829500 829619 black
band Nc_Supercontig_12.4 band1 band1 829620 1418285 chr4
band Nc_Supercontig_12.4 band1 band1 1418286 1418365 black
band Nc_Supercontig_12.4 band1 band1 1418366 1420229 chr4
band Nc_Supercontig_12.4 band1 band1 1420230 1420276 black
band Nc_Supercontig_12.4 band1 band1 1420277 1655702 chr4
band Nc_Supercontig_12.4 band1 band1 1655703 1655822 black
band Nc_Supercontig_12.4 band1 band1 1655823 2395392 chr4
band Nc_Supercontig_12.4 band1 band1 2395393 2395512 black
band Nc_Supercontig_12.4 band1 band1 2395513 2694004 chr4
band Nc_Supercontig_12.4 band1 band1 2694005 2694061 black
band Nc_Supercontig_12.4 band1 band1 2694062 3212841 chr4
band Nc_Supercontig_12.4 band1 band1 3212842 3212961 black
band Nc_Supercontig_12.4 band1 band1 3212962 3413221 chr4
band Nc_Supercontig_12.4 band1 band1 3413222 3413341 black
band Nc_Supercontig_12.4 band1 band1 3413342 3615666 chr4
band Nc_Supercontig_12.4 band1 band1 3615667 3615763 black
band Nc_Supercontig_12.4 band1 band1 3615764 3840670 chr4
band Nc_Supercontig_12.4 band1 band1 3840671 3840790 black
band Nc_Supercontig_12.4 band1 band1 3840791 3929089 chr4
band Nc_Supercontig_12.4 band1 band1 3929090 3929138 black
band Nc_Supercontig_12.4 band1 band1 3929139 3932745 chr4
band Nc_Supercontig_12.4 band1 band1 3932746 3932810 black
band Nc_Supercontig_12.4 band1 band1 3932811 4139844 chr4
band Nc_Supercontig_12.4 band1 band1 4139845 4139963 black
band Nc_Supercontig_12.4 band1 band1 4139964 4307947 chr4
band Nc_Supercontig_12.4 band1 band1 4307948 4308016 black
band Nc_Supercontig_12.4 band1 band1 4308017 4324038 chr4
band Nc_Supercontig_12.4 band1 band1 4324039 4324157 black
band Nc_Supercontig_12.4 band1 band1 4324158 4327404 chr4
band Nc_Supercontig_12.4 band1 band1 4327405 4327524 black
band Nc_Supercontig_12.4 band1 band1 4327525 5148298 chr4
band Nc_Supercontig_12.4 band1 band1 5148299 5148417 black
band Nc_Supercontig_12.4 band1 band1 5148418 5151336 chr4
band Nc_Supercontig_12.4 band1 band1 5151337 5151455 black
band Nc_Supercontig_12.4 band1 band1 5151456 5169124 chr4
band Nc_Supercontig_12.4 band1 band1 5169125 5169244 black
band Nc_Supercontig_12.4 band1 band1 5169245 5195136 chr4
band Nc_Supercontig_12.4 band1 band1 5195137 5195256 black
band Nc_Supercontig_12.4 band1 band1 5195257 5697364 chr4
band Nc_Supercontig_12.4 band1 band1 5697365 5697484 black
band Nc_Supercontig_12.4 band1 band1 5697485 6000761 chr4
band Nc_Supercontig_12.5 band1 band1 0 1 chr5
band Nc_Supercontig_12.5 band1 band1 1 1577 black
band Nc_Supercontig_12.5 band1 band1 1578 2076 chr5
band Nc_Supercontig_12.5 band1 band1 2077 2694 black
band Nc_Supercontig_12.5 band1 band1 2695 768405 chr5
band Nc_Supercontig_12.5 band1 band1 768406 768525 black
band Nc_Supercontig_12.5 band1 band1 768526 1264993 chr5
band Nc_Supercontig_12.5 band1 band1 1264994 1265113 black
band Nc_Supercontig_12.5 band1 band1 1265114 1358644 chr5
band Nc_Supercontig_12.5 band1 band1 1358645 1358767 black
band Nc_Supercontig_12.5 band1 band1 1358768 1525625 chr5
band Nc_Supercontig_12.5 band1 band1 1525626 1525744 black
band Nc_Supercontig_12.5 band1 band1 1525745 1574053 chr5
band Nc_Supercontig_12.5 band1 band1 1574054 1574173 black
band Nc_Supercontig_12.5 band1 band1 1574174 1592071 chr5
band Nc_Supercontig_12.5 band1 band1 1592072 1592191 black
band Nc_Supercontig_12.5 band1 band1 1592192 1600419 chr5
band Nc_Supercontig_12.5 band1 band1 1600420 1600539 black
band Nc_Supercontig_12.5 band1 band1 1600540 1617882 chr5
band Nc_Supercontig_12.5 band1 band1 1617883 1618002 black
band Nc_Supercontig_12.5 band1 band1 1618003 2422742 chr5
band Nc_Supercontig_12.5 band1 band1 2422743 2422805 black
band Nc_Supercontig_12.5 band1 band1 2422806 2629135 chr5
band Nc_Supercontig_12.5 band1 band1 2629136 2629255 black
band Nc_Supercontig_12.5 band1 band1 2629256 2708219 chr5
band Nc_Supercontig_12.5 band1 band1 2708220 2708340 black
band Nc_Supercontig_12.5 band1 band1 2708341 3461355 chr5
band Nc_Supercontig_12.5 band1 band1 3461356 3461475 black
band Nc_Supercontig_12.5 band1 band1 3461476 4390704 chr5
band Nc_Supercontig_12.5 band1 band1 4390705 4390824 black
band Nc_Supercontig_12.5 band1 band1 4390825 4423059 chr5
band Nc_Supercontig_12.5 band1 band1 4423060 4423179 black
band Nc_Supercontig_12.5 band1 band1 4423180 5540494 chr5
band Nc_Supercontig_12.5 band1 band1 5540495 5540614 black
band Nc_Supercontig_12.5 band1 band1 5540615 5543574 chr5
band Nc_Supercontig_12.5 band1 band1 5543575 5543660 black
band Nc_Supercontig_12.5 band1 band1 5543661 5937009 chr5
band Nc_Supercontig_12.5 band1 band1 5937010 5937129 black
band Nc_Supercontig_12.5 band1 band1 5937130 6436246 chr5
band Nc_Supercontig_12.6 band1 band1 0 361501 chr6
band Nc_Supercontig_12.6 band1 band1 361502 361590 black
band Nc_Supercontig_12.6 band1 band1 361591 480558 chr6
band Nc_Supercontig_12.6 band1 band1 480559 480678 black
band Nc_Supercontig_12.6 band1 band1 480679 690118 chr6
band Nc_Supercontig_12.6 band1 band1 690119 690238 black
band Nc_Supercontig_12.6 band1 band1 690239 2437056 chr6
band Nc_Supercontig_12.6 band1 band1 2437057 2437175 black
band Nc_Supercontig_12.6 band1 band1 2437176 2453275 chr6
band Nc_Supercontig_12.6 band1 band1 2453276 2453392 black
band Nc_Supercontig_12.6 band1 band1 2453393 2464906 chr6
band Nc_Supercontig_12.6 band1 band1 2464907 2465026 black
band Nc_Supercontig_12.6 band1 band1 2465027 3916901 chr6
band Nc_Supercontig_12.6 band1 band1 3916902 3917021 black
band Nc_Supercontig_12.6 band1 band1 3917022 4218384 chr6
band Nc_Supercontig_12.7 band1 band1 0 306001 chr7
band Nc_Supercontig_12.7 band1 band1 306002 306120 black
band Nc_Supercontig_12.7 band1 band1 306121 900796 chr7
band Nc_Supercontig_12.7 band1 band1 900797 900916 black
band Nc_Supercontig_12.7 band1 band1 900917 2987273 chr7
band Nc_Supercontig_12.7 band1 band1 2987274 2987393 black
band Nc_Supercontig_12.7 band1 band1 2987394 3225076 chr7
band Nc_Supercontig_12.7 band1 band1 3225077 3225196 black
band Nc_Supercontig_12.7 band1 band1 3225197 4255303 chr7
